
> darfus-jewellery-erp@2.0.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.137.1:3000
- Environments: .env
✓ Ready in 509ms

 GET /en/inventory 200 in 41ms (next.js: 10ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 28ms)
 GET /en/inventory 200 in 32ms (next.js: 9ms, proxy.ts: 5ms, generate-params: 21µs, application-code: 18ms)
 GET /en/suppliers/investment-gold 200 in 76ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 62ms)
 GET /en/sales/reservations 200 in 93ms (next.js: 15ms, proxy.ts: 3ms, generate-params: 8ms, application-code: 75ms)
 GET /en/sales/search-print 200 in 77ms (next.js: 10ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 64ms)
 GET /en/sales/returns 200 in 60ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 48ms)
 GET /en/sales/exchanges 200 in 58ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 46ms)
 GET /en/settings/tax 200 in 61ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 48ms)
 GET /en/settings/barcode-codes 200 in 84ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 71ms)
 GET /en/settings/onboarding 200 in 64ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 50ms)
 GET /ar/inventory/gold-by-weight 200 in 71ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 57ms)
 GET /ar/inventory/gold-by-piece 200 in 68ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 55ms)
 GET /ar/inventory/diamond-jewellery 200 in 68ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 56ms)
 GET /ar/inventory/loose-diamond 200 in 65ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 52ms)
 GET /ar/inventory/gem-stone 200 in 83ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 69ms)
 GET /ar/inventory/loose-gem-stone 200 in 61ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 49ms)
 GET /ar/inventory/pearl 200 in 62ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 51ms)
 GET /ar/inventory/loose-pearl 200 in 61ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 49ms)
 GET /ar/inventory/locations 200 in 70ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 58ms)
 GET /ar/inventory/adjustments 200 in 68ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 54ms)
 GET /ar/inventory/manufacturing 200 in 64ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 51ms)
 GET /ar/suppliers/purchases 200 in 61ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 49ms)
 GET /ar/inventory 200 in 62ms (next.js: 10ms, proxy.ts: 5ms, generate-params: 5ms, application-code: 47ms)
 GET /ar/inventory 200 in 35ms (next.js: 8ms, proxy.ts: 8ms, generate-params: 20µs, application-code: 19ms)
 GET /ar/suppliers/investment-gold 200 in 75ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 62ms)
 GET /ar/sales/reservations 200 in 65ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 53ms)
 GET /ar/sales/search-print 200 in 75ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 58ms)
 GET /ar/sales/returns 200 in 74ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 62ms)
 GET /ar/sales/exchanges 200 in 62ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 50ms)
 GET /ar/settings/tax 200 in 68ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 55ms)
 GET /ar/settings/barcode-codes 200 in 67ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 55ms)
 GET /ar/settings/onboarding 200 in 68ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 56ms)
 GET /en/gold-center/live-prices 200 in 2.5s (next.js: 2.4s, proxy.ts: 3ms, generate-params: 500ms, application-code: 77ms)
